,index,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,HA_Close,HA_Open,HA_High,HA_Low,RSI,HA_RSI,Date
28,2020-06-12,SBIN,EQ,177.15,170.0,180.0,169.8,178.85,179.15,174.57,92761694,1619356956390000.0,424338,15372122,0.16570000000000001,174.73749999999998,184.46143552986905,184.46143552986905,169.8,74.1467576791809,69.31890515595163,2020-06-12
29,2020-06-15,SBIN,EQ,179.15,177.85,177.85,172.0,173.55,173.7,174.05,63617286,1107282774565000.0,314930,11872928,0.18660000000000002,175.35000000000002,179.5994677649345,179.5994677649345,172.0,67.55905511811022,69.83993260320135,2020-06-15
30,2020-06-16,SBIN,EQ,173.7,178.0,178.95,169.4,172.55,172.9,174.16,63929925,1113374395129999.9,295248,9484014,0.1484,174.8125,177.47473388246726,178.95,169.4,62.521891418563925,67.16384683882455,2020-06-16
31,2020-06-17,SBIN,EQ,172.9,171.0,176.2,169.25,172.8,172.95,173.19,73867145,1279334437445000.0,337640,10915007,0.14780000000000001,172.35000000000002,176.14361694123363,176.2,169.25,62.99559471365639,61.97407323174893,2020-06-17
32,2020-06-18,SBIN,EQ,172.95,172.4,180.65,171.1,180.0,179.65,176.37,58262367,1027582603810000.0,274070,12595472,0.2162,175.95,174.24680847061683,180.65,171.1,65.2029826014913,64.93534482758619,2020-06-18
33,2020-06-19,SBIN,EQ,179.65,180.3,184.95,179.5,184.25,184.5,182.93,76897890,1406723474235000.0,324544,15049467,0.1957,182.3125,175.0984042353084,184.95,175.0984042353084,62.79893711248892,63.54470087385167,2020-06-19
34,2020-06-22,SBIN,EQ,184.5,185.0,191.75,184.25,187.9,187.7,188.68,80024673,1509941481520000.0,412445,16662588,0.2082,187.175,178.7054521176542,191.75,178.7054521176542,64.67619848612279,65.04833512352309,2020-06-22
35,2020-06-23,SBIN,EQ,187.7,189.6,193.1,187.85,192.95,192.45,191.05,65487726,1251132709290000.0,318473,8162620,0.23270000000000002,190.75,182.9402260588271,193.1,182.9402260588271,64.73551637279596,64.06802120141344,2020-06-23
36,2020-06-24,SBIN,EQ,192.45,194.8,194.9,183.9,184.5,184.6,189.87,74670206,1417786445910000.0,374457,16254665,0.2177,189.55,186.84511302941354,194.9,183.9,57.92637114951163,63.06521739130438,2020-06-24
37,2020-06-25,SBIN,EQ,184.6,182.2,186.8,180.4,185.7,185.25,184.27,73626947,1356703783825000.0,337252,12483960,0.1696,183.6625,188.19755651470678,188.19755651470678,180.4,47.614593077642645,51.01580135440178,2020-06-25
38,2020-06-26,SBIN,EQ,185.25,188.0,188.6,183.8,184.65,184.6,185.69,49178705,913182607104999.9,213443,8422000,0.1713,186.25000000000003,185.9300282573534,188.6,183.8,47.92843691148774,44.33042585941514,2020-06-26
39,2020-06-29,SBIN,EQ,184.6,183.0,183.1,178.5,179.45,179.25,179.99,50967079,917363428820000.1,268482,12190968,0.23920000000000002,180.9625,186.09001412867673,186.09001412867673,178.5,45.36541889483067,44.20567920184192,2020-06-29
